0	0,1,2,3,4,5	780,0,0,156,25,0	-20,-1,-1,-20,-1,-10
1	0,1,2,3,4,5	781,1,1,157,1,1	-20,-1,-1,-20,-10,-10
2	0,1,2,3,4,5	782,2,2,158,2,2	-20,-1,-1,-20,-10,-10
3	0,1,2,3,4,5	783,3,3,159,3,3	-20,-1,-1,-20,-10,-10
4	0,1,2,3,4,5	784,4,4,160,4,4	-20,-1,-1,-20,-10,-10
5	0,1,2,3,4,5	785,5,5,161,5,5	-20,-1,-1,-20,-10,-10
6	0,1,2,3,4,5	786,6,6,162,6,6	-20,-1,-1,-20,-10,-10
7	0,1,2,3,4,5	787,7,7,163,7,7	-20,-1,-1,-20,-10,-10
8	0,1,2,3,4,5	788,8,8,164,8,8	-20,-1,-1,-20,-10,-10
9	0,1,2,3,4,5	789,9,9,165,9,9	-20,-1,-1,-20,-10,-10
10	0,1,2,3,4,5	790,10,10,166,10,10	-20,-1,-1,-20,-10,-10
11	0,1,2,3,4,5	791,11,11,167,11,11	-20,-1,-1,-20,-10,-10
12	0,1,2,3,4,5	792,12,12,168,12,12	-20,-1,-1,-20,-10,-10
13	0,1,2,3,4,5	793,13,13,169,13,13	-20,-1,-1,-20,-10,-10
14	0,1,2,3,4,5	794,14,14,170,14,14	-20,-1,-1,-20,-10,-10
15	0,1,2,3,4,5	795,15,15,171,15,15	-20,-1,-1,-20,-10,-10
16	0,1,2,3,4,5	796,16,16,172,16,16	-20,-1,-1,-20,-10,-10
17	0,1,2,3,4,5	797,17,17,173,17,17	-20,-1,-1,-20,-10,-10
18	0,1,2,3,4,5	798,18,18,174,18,18	-20,-1,-1,-20,-10,-10
19	0,1,2,3,4,5	799,19,19,175,19,19	-20,-1,-1,-20,-10,-10
20	0,1,2,3,4,5	800,20,20,176,20,20	-20,-1,-1,-20,-10,-10
21	0,1,2,3,4,5	801,21,21,177,21,21	-20,-1,-1,-20,-10,-10
22	0,1,2,3,4,5	802,22,22,178,22,22	-20,-1,-1,-20,-10,-10
23	0,1,2,3,4,5	803,23,23,179,23,23	-20,-1,-1,-20,-10,-10
24	0,1,2,3,4,5	804,24,24,180,24,24	-20,-1,-1,-20,-10,-10
25	0,1,2,3,4,5	805,25,25,181,25,0	-20,-1,-1,-20,-10,-1
26	0,1,2,3,4,5	780,26,26,156,51,26	-1,-1,-1,-1,-1,-10
27	0,1,2,3,4,5	781,27,27,157,27,27	-1,-1,-1,-1,-10,-10
28	0,1,2,3,4,5	782,28,28,158,28,28	-1,-1,-1,-1,-10,-10
29	0,1,2,3,4,5	783,29,29,159,29,29	-1,-1,-1,-1,-10,-10
30	0,1,2,3,4,5	784,30,30,160,30,30	-1,-1,-1,-1,-10,-10
31	0,1,2,3,4,5	785,31,31,161,31,31	-1,-1,-1,-1,-10,-10
32	0,1,2,3,4,5	786,32,32,162,32,32	-1,-1,-1,-1,-10,-10
33	0,1,2,3,4,5	787,33,33,163,33,33	-1,-1,-1,-1,-10,-10
34	0,1,2,3,4,5	788,34,34,164,34,34	-1,-1,-1,-1,-10,-10
35	0,1,2,3,4,5	789,35,35,165,35,35	-1,-1,-1,-1,-10,-10
36	0,1,2,3,4,5	790,36,36,166,36,36	-1,-1,-1,-1,-10,-10
37	0,1,2,3,4,5	791,37,37,167,37,37	-1,-1,-1,-1,-10,-10
38	0,1,2,3,4,5	792,38,38,168,38,38	-1,-1,-1,-1,-10,-10
39	0,1,2,3,4,5	793,39,39,169,39,39	-1,-1,-1,-1,-10,-10
40	0,1,2,3,4,5	794,40,40,170,40,40	-1,-1,-1,-1,-10,-10
41	0,1,2,3,4,5	795,41,41,171,41,41	-1,-1,-1,-1,-10,-10
42	0,1,2,3,4,5	796,42,42,172,42,42	-1,-1,-1,-1,-10,-10
